系统时间,相对时间(s),扭矩(Nm),转速(rpm),功率(W),Ch1_Temp_C,Ch1_MOS_C,Ch1_Err,Ch1_Pos_rad,Ch1_Spd_rads,Ch1_Cur_A,Ch2_Temp_C,Ch2_MOS_C,Ch2_Err,Ch2_Pos_rad,Ch2_Spd_rads,Ch2_Cur_A,图像.最高温,图像.最低温,图像.平均温,P1.最高温,P2.最高温
2026/03/31 10:25:12.855,51.306,-2.3824,145.98,36.4209,22,29,0,-4.4108,16.0484,1.4579,0,0,0,0.0,0.0,0.0,24.6,18.3,19.6,20.2,23.9
2026/03/31 10:25:12.856,51.307,-2.4503,145.98,37.4589,22,29,0,-4.4108,16.0484,1.4579,0,0,0,0.0,0.0,0.0,24.6,18.3,19.6,20.2,23.9
2026/03/31 10:25:13.070,51.521,-3.216,145.98,49.1645,22,29,0,-4.4108,16.0484,1.4579,0,0,0,0.0,0.0,0.0,24.6,18.2,19.6,20.2,24.0
2026/03/31 10:25:13.073,51.524,-4.0184,145.96,61.4227,22,29,0,-1.0149,15.2308,1.0037,0,0,0,0.0,0.0,0.0,24.6,18.2,19.6,20.2,24.0
2026/03/31 10:25:13.074,51.525,-3.4839,145.96,53.2527,22,29,0,-1.0149,15.2308,1.0037,0,0,0,0.0,0.0,0.0,24.6,18.2,19.6,20.2,24.0
2026/03/31 10:25:13.280,51.731,-3.088,145.96,47.2012,22,29,0,0.9638,14.8264,0.7839,0,0,0,0.0,0.0,0.0,24.6,18.2,19.6,20.2,24.0
2026/03/31 10:25:13.280,51.731,-2.5935,145.97,39.6453,22,29,0,0.9638,14.8264,0.7839,0,0,0,0.0,0.0,0.0,24.6,18.2,19.6,20.2,24.0
2026/03/31 10:25:13.280,51.731,-2.2312,145.97,34.1071,22,29,0,0.9638,14.8264,0.7839,0,0,0,0.0,0.0,0.0,24.6,18.2,19.6,20.2,24.0
2026/03/31 10:25:13.282,51.733,-2.1576,145.97,32.982,22,29,0,2.2051,15.6088,1.0037,0,0,0,0.0,0.0,0.0,24.6,18.2,19.6,20.2,24.0
2026/03/31 10:25:13.282,51.733,-2.0471,145.97,31.2928,22,29,0,2.2051,15.6088,1.0037,0,0,0,0.0,0.0,0.0,24.6,18.2,19.6,20.2,24.0
2026/03/31 10:25:13.511,51.961,-3.188,145.93,48.7197,22,29,0,3.7352,14.6857,1.326,0,0,0,0.0,0.0,0.0,24.6,18.3,19.6,20.2,24.0
2026/03/31 10:25:13.511,51.962,-3.7903,145.93,57.9242,22,29,0,3.7352,14.6857,1.326,0,0,0,0.0,0.0,0.0,24.6,18.3,19.6,20.2,24.0
2026/03/31 10:25:13.636,52.087,-4.3712,145.93,66.8017,22,29,0,7.5565,15.9868,1.326,0,0,0,0.0,0.0,0.0,24.6,18.3,19.6,20.2,24.0
2026/03/31 10:25:13.636,52.087,-3.2671,145.93,49.9286,22,29,0,7.5565,15.9868,1.326,0,0,0,0.0,0.0,0.0,24.6,18.3,19.6,20.2,24.0
2026/03/31 10:25:13.636,52.087,-3.0296,145.93,46.299,22,29,0,7.5565,15.9868,1.326,0,0,0,0.0,0.0,0.0,24.6,18.3,19.6,20.2,24.0
